Title,Score,Release_Date,Episodes,Genres,Studios,Era_Category
Komekami! Girls,5.29,2026-04-08,12,[],"['Daily Plan.net', 'SO-DO Creative']",Recent/Airing
Hyakki Yakoushou,5.21,2026-04-07,12,"['Historical', 'Horror', 'Mystery', 'Romance', 'Shoujo', 'Supernatural']","['Imagica Infos', 'Imageworks Studio']",Recent/Airing
A Si yu Xiao Lingdang,,2020-07-22,0,"['Comedy', 'Fantasy', 'Romance']",['Buzhi Dongman'],Recent/Airing
Anmari Yakunitatanai Nihonshi,,2025-06-29,0,"['Comedy', 'Historical']",[],Recent/Airing
AOTU Shijie Reborn,,2025-03-14,0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Shounen', 'Space', 'Survival', 'Suspense']",[],Recent/Airing
Azarashi no Eru Aru,,2025-07-01,0,"['Anthropomorphic', 'Iyashikei', 'Slice of Life']",['Studio Artegg'],Recent/Airing
Bebefinn,,2022-05-16,0,"['Kids', 'Music', 'Slice of Life']",[],Recent/Airing
Biao Ren Er,,2026-06-11,8,"['Action', 'Historical']",['Colored Pencil Animation'],Recent/Airing
Black Channel (ONA),,2020-08-31,0,"['Comedy', 'Mythology', 'Supernatural']",[],Recent/Airing
Bugchon 5-lagil Ssangdungine,,2025-09-01,0,['Comedy'],['Atoonz'],Recent/Airing
Chan Chiho Challenge Channel,,2023-02-10,0,"['Comedy', 'Kids']",['Pie in the sky'],Recent/Airing
Cheng Huang Lu,,2026-06-09,6,"['Action', 'Supernatural']","['UKA', 'Wuhu Studio']",Recent/Airing
Cheongchun Blossom: Uliui Bom,,2026-04-15,12,"['Love Polygon', 'Romance']",[],Recent/Airing
Chibi Godzilla no Gyakushuu 3rd Season,,2025-07-02,0,"['Fantasy', 'Kids']",['Pie in the sky'],Recent/Airing
Cinnamon Anime Damon,,2023-03-03,0,"['Anthropomorphic', 'Slice of Life']",[],Recent/Airing
Da Xia Ba Xingqiu,,2023-09-01,0,['Comedy'],[],Recent/Airing
Dadao Duxing: Die Long Bian,,2026-04-06,16,"['Action', 'Drama', 'Fantasy', 'Historical', 'Martial Arts']",['Wonder Cat Animation'],Recent/Airing
Dao Yao Xing,,2026-03-03,60,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",['Suoyi Technology'],Recent/Airing
Dream Photobooth,,2025-04-22,0,['Fantasy'],['Noovo'],Recent/Airing
Elleair x Kamiusagi Rope,,2018-01-03,0,"['Anthropomorphic', 'Comedy']",[],Recent/Airing
Fei Ren Zai 3rd Season Part 2,,2026-05-05,12,"['Comedy', 'Mythology', 'Supernatural']",['Fenz'],Recent/Airing
Freestyle Shin-chan: Kasukabe no Rapper,,2022-01-08,0,"['Comedy', 'Kids', 'Music']",['Shin-Ei Animation'],Recent/Airing
Gekkan! Nanmono Anime,,2025-04-30,0,"['Anthropomorphic', 'Slice of Life']",['Lesprit'],Recent/Airing
Go! Go! Tokyo MER: Kinkyuujitai to Tatakau Nakama-tachi,,2022-01-05,0,"['Comedy', 'Workplace']",['FUNNY MOVIE'],Recent/Airing
